"SampleBatch" "Replicate" "microbe" "Time" "Concentration" "headspace" "pressure" "condition" "gas" "id" "Batch"
"137" "MC3" "MC23" "M. smithii /
C. minuta" 36.5 1.18128865304833 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"138" "B3" "B33" "B. thetaiotaomicron" 36.5 0.39588070320301 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"139" "B3" "B23" "B. thetaiotaomicron" 36.5 0.473064843021846 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"140" "B3" "B13" "B. thetaiotaomicron" 36.5 0.3018814164586 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"141" "MB3" "MB33" "M. smithii /
B. thetaiotaomicron" 36.5 0.0576132851239315 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"143" "MB3" "MB23" "M. smithii /
B. thetaiotaomicron" 36.5 0.0413456094136879 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"144" "MB3" "MB13" "M. smithii /
B. thetaiotaomicron" 36.5 0.0542137597527366 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"145" "B3" "B33" "B. thetaiotaomicron" 60.5 1.86637028728295 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"146" "C-atm" "C3" "C. minuta" 166.5 16.4083559529949 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"147" "C3" "C33" "C. minuta" 157 12.3847636585834 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"151" "C-atm" "C2" "C. minuta" 43.5 7.03307247793919 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"156" "MC-atm" "MC2" "M. smithii /
C. minuta" 67.5 0.346500823294192 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"157" "MH23" "MH2_23" "M. smithii" 12.5 90.6881178219096 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"158" "MH23" "MH2_13" "M. smithii" 12.5 91.376299908291 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"159" "C3" "C33" "C. minuta" 12.5 0.921105098794825 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"160" "C3" "C23" "C. minuta" 12.5 0.770249240051443 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"161" "C3" "C13" "C. minuta" 12.5 0.774866057793407 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"162" "MN22" "MN2_32" "M. smithii" 119 0.0825772039049475 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"163" "B3" "B23" "B. thetaiotaomicron" 84.75 2.12763791436011 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"164" "MH2-atm" "MH2_3" "M. smithii" 116.5 33.0022446198945 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"165" "B3" "B13" "B. thetaiotaomicron" 113.75 1.82641385793564 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"166" "MC3" "MC23" "M. smithii /
C. minuta" 12.5 0.230859912286459 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"167" "B3" "B33" "B. thetaiotaomicron" 12.5 0.0560683625521524 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"168" "MB3" "MB33" "M. smithii /
B. thetaiotaomicron" 12.5 0.032317404686772 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"169" "MB3" "MB13" "M. smithii /
B. thetaiotaomicron" 12.5 0.0326296501426829 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"171" "MC3" "MC33" "M. smithii /
C. minuta" 60.5 0.449851680117402 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"174" "MC-op" "MC3" "M. smithii /
C. minuta" 12.5 105.837101868386 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"175" "C-op" "C1" "C. minuta" 12.5 113.780407694938 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"176" "C-op" "C2" "C. minuta" 12.5 79.2289408694648 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"178" "C-atm" "C3" "C. minuta" 116.5 16.948067174854 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"179" "MC-atm" "MC1" "M. smithii /
C. minuta" 20.5 0.221000168023556 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"181" "MC-op" "MC1" "M. smithii /
C. minuta" 104.16 45.2581472329573 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"184" "MC-op" "MC1" "M. smithii /
C. minuta" 33 100.697521822656 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"185" "MC-op" "MC3" "M. smithii /
C. minuta" 33 88.5763540254578 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"186" "C-op" "C1" "C. minuta" 33 109.892539455582 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"187" "C-op" "C2" "C. minuta" 33 76.8461996850301 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"188" "C-atm" "C1" "C. minuta" 43.5 7.78124065608499 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"190" "MC-op" "MC1" "M. smithii /
C. minuta" 55 76.736438734073 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"191" "MC-op" "MC2" "M. smithii /
C. minuta" 55 84.8940766458781 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"192" "MC-atm" "MC3" "M. smithii /
C. minuta" 140.5 0.0690197712099851 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"194" "C-op" "C2" "C. minuta" 55 70.2887298902395 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"198" "MH2-atm" "MH2_3" "M. smithii" 20.5 47.0088611234277 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"199" "C-op" "C2" "C. minuta" 104.16 54.287055679053 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"200" "MC-op" "MC2" "M. smithii /
C. minuta" 104.16 60.3818061323367 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"201" "MC-op" "MC3" "M. smithii /
C. minuta" 104.16 40.2190147719937 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"202" "C-op" "C1" "C. minuta" 104.16 83.823472922382 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"203" "C-op" "C3" "C. minuta" 104.16 84.9896285627835 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"207" "MC-op" "MC2" "M. smithii /
C. minuta" 150 28.2237536476077 "H2" "2bar" "H2-2bar" "H2" "MC-opH2" "H2 - 2 bar"
"208" "C-op" "C1" "C. minuta" 150 68.7031295699199 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"212" "C-atm" "C2" "C. minuta" 116.5 18.7753506628306 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"214" "MC3" "MC13" "M. smithii /
C. minuta" 113.75 0.399829031493262 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"215" "B3" "B23" "B. thetaiotaomicron" 12.5 0.0559994652292295 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"217" "MC3" "MC33" "M. smithii /
C. minuta" 36.5 0.96601079118682 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"219" "MH2-atm" "MH2_1" "M. smithii" 116.5 24.9019785052756 "H2" "atm" "H2-atm" "H2" "MH2-atmH2" "N2 - atm"
"222" "MH23" "MH2_13" "M. smithii" 60.5 65.0587773831499 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"224" "MH2-atm" "MH2_3" "M. smithii" 166.5 5.2996269490249 "H2" "atm" "H2-atm" "CH4" "MH2-atmCH4" "N2 - atm"
"225" "C-atm" "C2" "C. minuta" 166.5 0 "N2" "atm" "N2-atm" "CH4" "C-atmCH4" "N2 - atm"
"226" "C-atm" "C1" "C. minuta" 166.5 0 "N2" "atm" "N2-atm" "CH4" "C-atmCH4" "N2 - atm"
"227" "MC-atm" "MC3" "M. smithii /
C. minuta" 166.5 7.44737002781118 "N2" "atm" "N2-atm" "CH4" "MC-atmCH4" "N2 - atm"
"228" "MH23" "MH2_23" "M. smithii" 84.75 74.1807757707424 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"229" "MC-atm" "MC1" "M. smithii /
C. minuta" 166.5 6.24779197884993 "N2" "atm" "N2-atm" "CH4" "MC-atmCH4" "N2 - atm"
"230" "MH2-atm" "MH2_3" "M. smithii" 140.5 4.42170138714083 "H2" "atm" "H2-atm" "CH4" "MH2-atmCH4" "N2 - atm"
"231" "MH2-atm" "MH2_1" "M. smithii" 140.5 4.05186574615545 "H2" "atm" "H2-atm" "CH4" "MH2-atmCH4" "N2 - atm"
"232" "C-atm" "C3" "C. minuta" 140.5 0 "N2" "atm" "N2-atm" "CH4" "C-atmCH4" "N2 - atm"
"233" "C-atm" "C1" "C. minuta" 140.5 0 "N2" "atm" "N2-atm" "CH4" "C-atmCH4" "N2 - atm"
"234" "MC-atm" "MC3" "M. smithii /
C. minuta" 140.5 5.0587990198758 "N2" "atm" "N2-atm" "CH4" "MC-atmCH4" "N2 - atm"
"236" "MC-atm" "MC1" "M. smithii /
C. minuta" 140.5 5.09991994741272 "N2" "atm" "N2-atm" "CH4" "MC-atmCH4" "N2 - atm"
"237" "MH2-atm" "MH2_1" "M. smithii" 116.5 3.85477325338774 "H2" "atm" "H2-atm" "CH4" "MH2-atmCH4" "N2 - atm"
"238" "C-atm" "C1" "C. minuta" 116.5 0.00321322381111053 "N2" "atm" "N2-atm" "CH4" "C-atmCH4" "N2 - atm"
"239" "MC-atm" "MC3" "M. smithii /
C. minuta" 116.5 6.43684579483836 "N2" "atm" "N2-atm" "CH4" "MC-atmCH4" "N2 - atm"
"240" "MC-atm" "MC1" "M. smithii /
C. minuta" 116.5 5.04297545665102 "N2" "atm" "N2-atm" "CH4" "MC-atmCH4" "N2 - atm"
"241" "MH2-atm" "MH2_2" "M. smithii" 88.75 3.20231106977064 "H2" "atm" "H2-atm" "CH4" "MH2-atmCH4" "N2 - atm"
"242" "MH23" "MH2_23" "M. smithii" 183.75 37.7706001216466 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"243" "MH2-atm" "MH2_1" "M. smithii" 88.75 3.41095899701237 "H2" "atm" "H2-atm" "CH4" "MH2-atmCH4" "N2 - atm"
